<NOISE> 1.0	NSN
!SIL 1.0	SIL
<SPOKEN_NOISE> 1.0	SPN
<UNK> 1.0	SPN
a 1.0	a1
a-a 1.0	a1 a1
a-a-tsa-tsa 1.0	a1 a1 ts a1 ts a1
a-bu-kha-lo 1.0	a1 b_T u1 kh a1 l er1
a-bí-lī-ka 1.0	a1 b_T i2 l i7 k a1
a-bí-tso̍k 1.0	a1 b_T i2 ts er k_T8
a-bîng 1.0	a1 b_T i ng5
a-bó 1.0	a1 b_T er2
a-bú 1.0	a1 b_T u2
a-bûn 1.0	a1 b_T u nn5
a-guân-á 1.0	a1 g_T u a nn5 a2
a-hiann 1.0	a1 h i a nn_T1
a-hiong 1.0	a1 h i er ng1
a-hiông 1.0	a1 h i er ng5
a-hue 1.0	a1 h u e1
a-hue-á 1.0	a1 h u e1 a2
a-hui 1.0	a1 h u i1
a-hui-lī-ka 1.0	a1 h u i1 l i7 k a1
a-hui-peh 1.0	a1 h u i1 p e h_T4
a-hun 1.0	a1 h u nn1
a-huī 1.0	a1 h u i7
a-iân 1.0	a1 i a nn5
a-iân-phiánn 1.0	a1 i a nn5 ph i a nn_T2
a-iân-pán 1.0	a1 i a nn5 p a nn2
a-iân-suànn 1.0	a1 i a nn5 s u a nn_T3
a-iân-thih 1.0	a1 i a nn5 th i h_T4
a-iân-tháng 1.0	a1 i a nn5 th a ng2
a-ióng 1.0	a1 i er ng2
a-jia̍t-tài 1.0	a1 j_T i a t_T8 t a i3
a-jîn 1.0	a1 j_T i nn5
a-ka 1.0	a1 k a1
a-kah 1.0	a1 k a h_T4
a-khîm 1.0	a1 kh i m_T5
a-khīng 1.0	a1 kh i ng7
a-kiat 1.0	a1 k i a t_T4
a-kiánn 1.0	a1 k i a nn_T2
a-ko 1.0	a1 k er1
a-ko-sià 1.0	a1 k er1 s i a3
a-kong 1.0	a1 k er ng1
a-kong-tiàm 1.0	a1 k er ng1 t i a m_T3
a-koo 1.0	a1 k o1
a-kuann 1.0	a1 k u a nn_T1
a-kun 1.0	a1 k u nn1
a-káu 1.0	a1 k a u2
a-kâu 1.0	a1 k a u5
a-kî 1.0	a1 k i5
a-kīm 1.0	a1 k i m_T7
a-kū 1.0	a1 k u7
a-la-pik 1.0	a1 l a1 p i k_T4
a-lat-pik 1.0	a1 l a t_T4 p i k_T4
a-liân 1.0	a1 l i a nn5
a-lo̍k-á 1.0	a1 l er k_T8 a2
a-lá 1.0	a1 l a2
a-lá-pik 1.0	a1 l a2 p i k_T4
a-lân 1.0	a1 l a nn5
a-lé 1.0	a1 l e2
a-lí-káng 1.0	a1 l i2 k a ng2
a-lí-put-ta̍t 1.0	a1 l i2 p u t_T4 t a t_T8
a-lí-san 1.0	a1 l i2 s a nn1
a-lí-san-hiong 1.0	a1 l i2 s a nn1 h i er ng1
a-lí-san-suànn 1.0	a1 l i2 s a nn1 s u a nn_T3
a-lí-sim 1.0	a1 l i2 s i m_T1
a-lîn 1.0	a1 l i nn5
a-men 1.0	a1 m e nn1
a-muâ 1.0	a1 m u a5
a-má 1.0	a1 m a2
a-má-sùn 1.0	a1 m a2 s u nn3
a-mí-tso̍k 1.0	a1 m i2 ts er k_T8
a-mî-á 1.0	a1 m i5 a2
a-môo-su 1.0	a1 m o5 s u1
a-môo-sū 1.0	a1 m o5 s u7
a-ni 1.0	a1 n i1
a-niâ 1.0	a1 n i a5
a-nái 1.0	a1 n a i2
a-nî 1.0	a1 n i5
a-nîu 1.0	a1 n i u5
a-pa 1.0	a1 p a1
a-pah 1.0	a1 p a h_T4
a-pah-neh 1.0	a1 p a h_T4 n e h_T4
a-pan 1.0	a1 p a nn1
a-peh 1.0	a1 p e h_T4
a-peh-a 1.0	a1 p e h_T4 a1
a-phiàn 1.0	a1 ph i a nn3
a-phiàn-hun 1.0	a1 ph i a nn3 h u nn1
a-phiàn-hun-king 1.0	a1 ph i a nn3 h u nn1 k i ng1
a-phiàn-hun-tshue 1.0	a1 ph i a nn3 h u nn1 tsh u e1
a-phiàn-ko 1.0	a1 ph i a nn3 k er1
a-phiàn-kuí 1.0	a1 ph i a nn3 k u i2
a-phiàn-sian 1.0	a1 ph i a nn3 s i a nn1
a-phiàn-thôo 1.0	a1 ph i a nn3 th o5
a-pho-lô 1.0	a1 ph er1 l er5
a-pik-la̍h-hán 1.0	a1 p i k_T4 l a h_T8 h a nn2
a-pik-lân 1.0	a1 p i k_T4 l a nn5
a-ping-ko 1.0	a1 p i ng1 k er1
a-put-tó 1.0	a1 p u t_T4 t er2
a-pâ 1.0	a1 p a5
a-pínn 1.0	a1 p i nn_T2
a-pínn-á 1.0	a1 p i nn_T2 a2
a-pô 1.0	a1 p er5
a-pô-tsînn 1.0	a1 p er5 ts i nn_T5
a-pún-á 1.0	a1 p u nn2 a2
a-sa-puh-luh 1.0	a1 s a1 p u h_T4 l u h_T4
a-sam 1.0	a1 s a m_T1
a-san-á-kuè-lâi 1.0	a1 s a nn1 a2 k u e3 l a i5
a-se 1.0	a1 s e1
a-se-a 1.0	a1 s e1 a1
a-sing 1.0	a1 s i ng1
a-sià 1.0	a1 s i a3
a-sià-kiánn 1.0	a1 s i a3 k i a nn_T2
a-siâ-lê 1.0	a1 s i a5 l e5
a-suann 1.0	a1 s u a nn_T1
a-sun 1.0	a1 s u nn1
a-suí 1.0	a1 s u i2
a-sá-gá-ooh 1.0	a1 s a2 g_T a2 o h_T4
a-sá-lih 1.0	a1 s a2 l i h_T4
a-sáng 1.0	a1 s a ng2
a-sè-a 1.0	a1 s e3 a1
a-só 1.0	a1 s er2
a-tang 1.0	a1 t a ng1
a-the̍h 1.0	a1 th e h_T8
a-thài 1.0	a1 th a i3
a-thâu 1.0	a1 th a u5
a-thô 1.0	a1 th er5
a-tia 1.0	a1 t i a1
a-tio̍h 1.0	a1 t i er h_T8
a-tok-á 1.0	a1 t er k_T4 a2
a-tong 1.0	a1 t er ng1
a-tsa 1.0	a1 ts a1
a-tsam 1.0	a1 ts a m_T1
a-tshang-só-á 1.0	a1 tsh a ng1 s er2 a2
a-tshiu 1.0	a1 tsh i u1
a-tsik 1.0	a1 ts i k_T4
a-tsiu 1.0	a1 ts i u1
a-tsuí-á 1.0	a1 ts u i2 a2
a-tsâi 1.0	a1 ts a i5
a-tsé 1.0	a1 ts e2
a-tsí 1.0	a1 ts i2
a-tsím 1.0	a1 ts i m_T2
a-tsóo 1.0	a1 ts o2
a-tuànn 1.0	a1 t u a nn_T3
a-tôo 1.0	a1 t o5
a-î 1.0	a1 i5
a-î-leh 1.0	a1 i5 l e h_T4
a-ūn 1.0	a1 u nn7
a-ḿ 1.0	a1 ms_T2
ah 1.0	a h_T4
ah-ah 1.0	a h_T4 a h_T4
ah-bah 1.0	a h_T4 b_T a h_T4
ah-bué 1.0	a h_T4 b_T u e2
ah-bé 1.0	a h_T4 b_T e2
ah-bî 1.0	a h_T4 b_T i5
ah-bî-á 1.0	a h_T4 b_T i5 a2
ah-bó 1.0	a h_T4 b_T er2
ah-bó-le̍h 1.0	a h_T4 b_T er2 l e h_T8
ah-bó-tsháu 1.0	a h_T4 b_T er2 tsh a u2
ah-bó-tê 1.0	a h_T4 b_T er2 t e5
ah-bô 1.0	a h_T4 b_T er5
ah-bú 1.0	a h_T4 b_T u2
ah-bú-it 1.0	a h_T4 b_T u2 i t_T4
ah-bú-tshuì 1.0	a h_T4 b_T u2 tsh u i3
ah-bú-tsháu 1.0	a h_T4 b_T u2 tsh a u2
ah-bú-tshīu 1.0	a h_T4 b_T u2 tsh i u7
ah-bú-tsu 1.0	a h_T4 b_T u2 ts u1
ah-bú-tê 1.0	a h_T4 b_T u2 t e5
ah-bī 1.0	a h_T4 b_T i7
ah-hiàn 1.0	a h_T4 h i a nn3
ah-hu 1.0	a h_T4 h u1
ah-hue-siā 1.0	a h_T4 h u e1 s i a7
ah-hîng 1.0	a h_T4 h i ng5
ah-hîng-á 1.0	a h_T4 h i ng5 a2
ah-hóo 1.0	a h_T4 h o2
ah-ji̍h 1.0	a h_T4 j_T i h_T8
ah-kak 1.0	a h_T4 k a k_T4
ah-kang 1.0	a h_T4 k a ng1
ah-kha-hiunn 1.0	a h_T4 kh a1 h i u nn_T1
ah-kha-pê 1.0	a h_T4 kh a1 p e5
ah-kha-sik 1.0	a h_T4 kh a1 s i k_T4
ah-kha-sué 1.0	a h_T4 kh a1 s u e2
ah-kha-tê 1.0	a h_T4 kh a1 t e5
ah-khut 1.0	a h_T4 kh u t_T4
ah-khuán 1.0	a h_T4 kh u a nn2
ah-kim 1.0	a h_T4 k i m_T1
ah-kiān 1.0	a h_T4 k i a nn7
ah-kiān-tîn 1.0	a h_T4 k i a nn7 t i nn5
ah-kui 1.0	a h_T4 k u i1
ah-kái 1.0	a h_T4 k a i2
ah-kē 1.0	a h_T4 k e7
ah-lah 1.0	a h_T4 l a h_T4
ah-lam 1.0	a h_T4 l a m_T1
ah-li̍k 1.0	a h_T4 l i k_T8
ah-lo̍h 1.0	a h_T4 l er h_T8
ah-lo̍h-té 1.0	a h_T4 l er h_T8 t e2
ah-lut-á 1.0	a h_T4 l u t_T4 a2
ah-nn̄g 1.0	a h_T4 n ngs_T7
ah-nn̄g-bīn 1.0	a h_T4 n ngs_T7 b_T i nn7
ah-nn̄g-hîng 1.0	a h_T4 n ngs_T7 h i ng5
ah-nn̄g-jîn 1.0	a h_T4 n ngs_T7 j_T i nn5
ah-nn̄g-tshing 1.0	a h_T4 n ngs_T7 tsh i ng1
ah-nn̄g-tshinn 1.0	a h_T4 n ngs_T7 tsh i nn_T1
ah-pa 1.0	a h_T4 p a1
ah-put-tó 1.0	a h_T4 p u t_T4 t er2
ah-pà 1.0	a h_T4 p a3
ah-pńg 1.0	a h_T4 p ngs_T2
ah-suah 1.0	a h_T4 s u a h_T4
ah-sàng 1.0	a h_T4 s a ng3
ah-síunn 1.0	a h_T4 s i u nn_T2
ah-sóo 1.0	a h_T4 s o2
ah-sī 1.0	a h_T4 s i7
ah-thôo-tsu 1.0	a h_T4 th o5 ts u1
ah-thûn-á 1.0	a h_T4 th u nn5 a2
ah-tshioh 1.0	a h_T4 tsh i er h_T4
ah-tshuì-hông 1.0	a h_T4 tsh u i3 h er ng5
ah-tsióng 1.0	a h_T4 ts i er ng2
ah-tsi̍h-hông 1.0	a h_T4 ts i h_T8 h er ng5
ah-tsi̍h-tsháu 1.0	a h_T4 ts i h_T8 tsh a u2
ah-tsíunn 1.0	a h_T4 ts i u nn_T2
ah-tuê-sué 1.0	a h_T4 t u e5 s u e2
ah-tuê-tsháu 1.0	a h_T4 t u e5 tsh a u2
ah-tê-tsháu 1.0	a h_T4 t e5 tsh a u2
ah-tīn 1.0	a h_T4 t i nn7
ah-á 1.0	a h_T4 a2
ah-á-kiánn 1.0	a h_T4 a2 k i a nn_T2
ah-á-tan 1.0	a h_T4 a2 t a nn1
ah-á-thiann-luî 1.0	a h_T4 a2 th i a nn_T1 l u i5
ah-āu 1.0	a h_T4 a u7
ah-ūn 1.0	a h_T4 u nn7
ai 1.0	a i1
ai-ah 1.0	a i1 a h_T4
ai-ai 1.0	a i1 a i1
ai-ai-kiò 1.0	a i1 a i1 k i er3
ai-ai-tshan 1.0	a i1 a i1 tsh a nn1
ai-gō 1.0	a i1 g_T er7
ai-háu 1.0	a i1 h a u2
ai-ioh 1.0	a i1 i er h_T4
ai-khàu 1.0	a i1 kh a u3
ai-khóo 1.0	a i1 kh o2
ai-king 1.0	a i1 k i ng1
ai-kiò 1.0	a i1 k i er3
ai-ki̍p 1.0	a i1 k i p_T8
ai-ki̍p-kok 1.0	a i1 k i p_T8 k er k_T4
ai-kua 1.0	a i1 k u a1
ai-kîu 1.0	a i1 k i u5
ai-lo̍k 1.0	a i1 l er k_T8
ai-ní-lân 1.0	a i1 n i2 l a nn5
ai-oh 1.0	a i1 er h_T4
ai-pē-kiò-bú 1.0	a i1 p e7 k i er3 b_T u2
ai-siann 1.0	a i1 s i a nn_T1
ai-siong 1.0	a i1 s i er ng1
ai-sòo 1.0	a i1 s o3
ai-sû 1.0	a i1 s u5
ai-thòng 1.0	a i1 th er ng3
ai-tinn 1.0	a i1 t i nn_T1
ai-tiân 1.0	a i1 t i a nn5
ai-tshan 1.0	a i1 tsh a nn1
ai-tshám 1.0	a i1 tsh a m_T2
ai-tō 1.0	a i1 t er7
ai-tōng 1.0	a i1 t er ng7
ai-uàn 1.0	a i1 u a nn3
aih 1.0	a i h_T4
ainn 1.0	a i nn_T1
ainnh 1.0	a i nn_T h_T4
ak 1.0	a k_T4
ak-ak 1.0	a k_T4 a k_T4
ak-hue 1.0	a k_T4 h u e1
ak-hōo 1.0	a k_T4 h o7
ak-puî 1.0	a k_T4 p u i5
ak-tio̍h-hōo 1.0	a k_T4 t i er h_T8 h o7
ak-tsak 1.0	a k_T4 ts a k_T4
ak-tsa̍k 1.0	a k_T4 ts a k_T8
ak-tshài 1.0	a k_T4 tsh a i3
ak-tshân 1.0	a k_T4 tsh a nn5
ak-tshíu 1.0	a k_T4 tsh i u2
ak-tsuí 1.0	a k_T4 ts u i2
ak-tâm 1.0	a k_T4 t a m_T5
ak-âu 1.0	a k_T4 a u5
am 1.0	a m_T1
am-am 1.0	a m_T1 a m_T1
am-am-it-sik 1.0	a m_T1 a m_T1 i t_T4 s i k_T4
am-biō 1.0	a m_T1 b_T i er7
am-gōng 1.0	a m_T1 g_T er ng7
am-hōo 1.0	a m_T1 h o7
am-ke 1.0	a m_T1 k e1
am-khàm 1.0	a m_T1 kh a m_T3
am-khám 1.0	a m_T1 kh a m_T2
am-khám-gōng 1.0	a m_T1 kh a m_T2 g_T er ng7
am-kng 1.0	a m_T1 k ngs_T1
am-ko̍k-ke 1.0	a m_T1 k er k_T8 k e1
am-kue 1.0	a m_T1 k u e1
am-kue-thâng 1.0	a m_T1 k u e1 th a ng5
am-lam 1.0	a m_T1 l a m_T1
